Company Name,Category,Sub-Category,Geography,Website,Products/Pipeline,Stage,Use Case,Priority,Notes
Pluri Inc.,Pharmaceutical/Biotech,Placental MSC,Israel,https://pluri-biotech.com,Placental expanded MSC exosomes,Commercial/Clinical,Placental MSC exosome supply,High,Miss Universe Skincare partnership 2025
Avalon GloboCare,Pharmaceutical/Biotech,Oncology/Regenerative,USA,https://avalon-globocare.com,MSC exosome programs,Preclinical,MSC exosome manufacturing,Medium,Exosome + cell therapy portfolio
BioRestorative Therapies,Pharmaceutical/Biotech,Disc/Metabolic,USA,https://biorestorative.com,Stem cell and exosome disc therapy,Clinical,MSC exosome supply,Medium,Disc/spine regenerative focus
Caladrius Biosciences,Pharmaceutical/Biotech,Autoimmune,USA,https://caladrius.com,Cell and exosome immunotherapy,Clinical,MSC exosome supply,Low,Autoimmune cell therapy
Cynata Therapeutics,Pharmaceutical/Biotech,MSC Platform,Australia,https://cynata.com,Cymerus MSC platform + exosomes,Clinical,iPSC-MSC exosome supply,High,Scalable MSC manufacturing platform
Tissue Tech,Pharmaceutical/Biotech,Ophthalmology,USA,https://tissuetech.com,Amniotic MSC exosome products,Commercial,Amniotic MSC exosome supply,Medium,Ocular surface regeneration
Stemedica,Pharmaceutical/Biotech,Multi-indication,USA,https://stemedica.com,cGMP MSC lines + exosomes,Clinical,MSC master cell bank + exosomes,High,cGMP MSC manufacturer
Histocell,Pharmaceutical/Biotech,Regenerative,Spain,https://histocell.com,GMP MSC and exosome production,Commercial,GMP MSC exosome manufacturing,High,REPROCELL GMP partner; EU manufacturing
RoosterBio,Pharmaceutical/Biotech,MSC Manufacturing,USA,https://roosterbio.com,MSC systems + exosome media,Commercial,MSC culture media; exosome production kits,High,Leading MSC manufacturing supplier
Lonza,Pharmaceutical/Biotech,CDMO,Switzerland,https://lonza.com,Exosome manufacturing services,Commercial,MSC exosome CDMO partnership,High,Global CDMO; Exosomics partner
Fujifilm Irvine Scientific,Pharmaceutical/Biotech,Cell Culture,USA,https://irvine-scientific.com,MSC culture media for exosome production,Commercial,MSC expansion media supply,Medium,Cell culture media for MSC exosome yield
ExoXpert (EXO Biologics),CDMO/Manufacturing,GMP Exosome Production,Belgium,https://exoxpert.com,GMP MSC exosome CDMO platform,Commercial,Contract MSC exosome manufacturing,High,Europe's first GMP-certified MSC exosome plant
Porton Advanced,CDMO/Manufacturing,GMP Exosome Production,USA/China,https://portonadvanced.com,End-to-end MSC exosome CDMO; FDA DMF UC-MSC bank,Commercial,MSC exosome process development + GMP,High,FDA DMF accepted UC-MSC cell bank
AGC Biologics,CDMO/Manufacturing,GMP Biologics,Japan/Global,https://agcbio.com,MSC exosome GMP process (iCellis),Commercial,MSC exosome scale-up manufacturing,High,Scalable iCellis bioreactor exosome process
Esco Aster,CDMO/Manufacturing,GMP Exosome Production,Singapore,https://escoaster.com,cGMP exosome Tide Motion bioreactor,Commercial,MSC exosome GMP manufacturing,High,3D Tide Motion bioreactor platform
Mycenax Biotech,CDMO/Manufacturing,MSC-EV Production,Taiwan,https://mycenax.com,ExoMX 3D microcarrier MSC-EV platform,Commercial,MSC exosome clinical translation CDMO,High,3D microcarrier MSC-EV process
MycoVista Biotech,CDMO/Manufacturing,MSC Exosome Production,USA,https://mycovistabio.com,San Diego MSC exosome GMP platform,Commercial,Research-to-GMP MSC exosome supply,High,San Diego MSC exosome scale-up
EvERZom,CDMO/Manufacturing,EV Manufacturing,France,https://everzom.com,GMP EV CDMO; turbulence stimulation,Commercial,MSC exosome manufacturing partnership,High,Patented 100x yield production method
WuXi Advanced Therapies,CDMO/Manufacturing,ATMP CDMO,China/Global,https://wuxiapptec.com,Cell and gene therapy CDMO incl. exosomes,Commercial,MSC exosome CMC services,High,Global ATMP CDMO leader
Catalent,CDMO/Manufacturing,Biologics CDMO,USA/Global,https://catalent.com,Biologics manufacturing,Commercial,MSC exosome fill-finish partnership,Medium,Global biologics CDMO
Thermo Fisher Scientific,CDMO/Manufacturing,Bioproduction,USA,https://thermofisher.com,Cell culture; exosome isolation tools,Commercial,MSC culture systems; purification tools,Medium,Upstream/downstream tools for exosome production
MilliporeSigma,CDMO/Manufacturing,Bioprocessing,USA/Germany,https://sigmaaldrich.com,Tangential flow; exosome purification,Commercial,MSC exosome purification systems,Medium,Filtration and purification technology
Sartorius,CDMO/Manufacturing,Bioprocessing,Germany,https://sartorius.com,Bioreactors; exosome analytics,Commercial,MSC bioreactor systems,Medium,Bioreactor and analytics for MSC exosomes
Charles River Laboratories,CDMO/Manufacturing,CRO/CDMO,USA,https://criver.com,CGT testing and manufacturing support,Commercial,MSC exosome analytical testing,Medium,Regulatory testing support
Samsung Biologics,CDMO/Manufacturing,Biologics CDMO,South Korea,https://samsungbiologics.com,Biologics manufacturing,Commercial,MSC exosome manufacturing partnership,Medium,Large-scale biologics CDMO
BIOVECTRA,CDMO/Manufacturing,Biologics CDMO,Canada,https://biovectra.com,Biologics and cell therapy manufacturing,Commercial,MSC exosome process development,Medium,Canadian biologics CDMO
Vibalogics,CDMO/Manufacturing,Viral/EV Manufacturing,Germany/USA,https://vibalogics.com,Complex biologics manufacturing,Commercial,MSC exosome GMP manufacturing,Medium,Complex biologics specialist
Nordic Nanovector,CDMO/Manufacturing,Radiopharmaceutical,Norway,https://nordicnanovector.com,Exosome research programs,Preclinical,MSC exosome supply,Low,Expanding into exosome space
REPROCELL,CDMO/Manufacturing,GMP Cell Production,UK/Japan,https://reprocell.com,GMP iPSC/MSC production; MSC exosomes,Commercial,GMP MSC exosome manufacturing,High,Clinical-grade MSC and exosome production
Bio-Techne,CDMO/Manufacturing,Research Tools,USA,https://bio-techne.com,Exosome diagnostics; research tools,Commercial,MSC exosome research reagents,Medium,Owns Exosome Diagnostics
ExoCoBio,Aesthetics/Cosmetics,Skincare/Hair,South Korea,https://exocobio.com,ASCE+ exosome skincare; stem cell exosomes,Commercial,MSC exosome supply for cosmetics,High,Acquired BENEV majority stake 2023
BENEV Company,Aesthetics/Cosmetics,Medical Aesthetics,USA,https://benev.com,Exosome regenerative aesthetics (ExoCoBio),Commercial,MSC exosome supply for aesthetic products,High,Major US medical aesthetics distributor
Elevai Labs,Aesthetics/Cosmetics,Skincare/Biopharma,USA,https://elevailabs.com,PREx hUMSC exosomes; Elevai Skincare,Commercial/Clinical,Umbilical cord MSC exosome supply,High,NASDAQ-listed; PREx platform
AnteAGE (Cellese),Aesthetics/Cosmetics,Skincare,USA,https://anteage.com,Bone marrow MSC exosome skincare,Commercial,BM-MSC exosome supply,High,Leading exosome skincare brand
Exora,Aesthetics/Cosmetics,Luxury Skincare,USA,https://exora.com,JuveXO ExoCM secretome from ULSCs,Commercial,Umbilical cord MSC exosome supply,High,Rafael Gonzalez MSC science; JuveXO brand
CALECIM Professional,Aesthetics/Cosmetics,Professional Skincare,Singapore,https://calecimprofessional.com,Cord-lining MSC conditioned media/exosomes,Commercial,Cord-lining MSC exosome supply,High,Professional aesthetic channel
RegenLab,Aesthetics/Cosmetics,PRP/Regenerative,Switzerland,https://regenlab.com,PRP and exosome aesthetic systems,Commercial,MSC exosome kits for clinics,High,Global aesthetic device company
Exocelbio,Aesthetics/Cosmetics,Regenerative Aesthetics,USA,https://exocelbio.com,Exovex purified exosome product,Commercial,MSC exosome supply for Exovex,High,Pennsylvania Biotechnology Center
Plated Skin Science,Aesthetics/Cosmetics,Skincare,USA,https://platedskinscience.com,Platelet-derived exosome skincare,Commercial,MSC exosome alternative/complement,Medium,Human exosome skincare
Exopell,Aesthetics/Cosmetics,MSC Exosomes,South Korea,https://exopell.com,FS3 Full-Spectrum MSC secretome,Commercial,MSC exosome supply,High,FS3 MSC exosome technology
GainMed,Aesthetics/Cosmetics,Professional Grade,South Korea,https://gainmed.co.kr,Professional exosome materials for clinics,Commercial,MSC exosome bulk supply,Medium,Clinic and distributor channel
OmniGenix,Aesthetics/Cosmetics,Tissue-specific Regeneration,USA,https://omnigenix.com,Aesthetic exosome formulations,Commercial,MSC exosome formulations,Medium,Tissue-specific exosome products
MSCExos,Aesthetics/Cosmetics,Clinical Supply,USA,https://mscexos.com,Clinical-grade MSC exosomes and MUSE cells,Commercial,MSC exosome supply to clinics,High,Direct clinic supply model
Invitrx Therapeutics,Aesthetics/Cosmetics,Regenerative,USA,https://invitrx.com,UC-MSC derived regenerative products,Commercial,UC-MSC exosome supply,High,Aesthetic and regenerative medicine
CellResearch Corp,Aesthetics/Cosmetics,Cord Lining,Singapore,https://cellresearch.com,CALECIM cord-lining MSC technology,Commercial,Cord-lining MSC exosome supply,High,CALECIM parent company
Rion Aesthetics,Aesthetics/Cosmetics,Regenerative,USA,https://riontx.com,PEP exosome aesthetic applications,Commercial,MSC exosome partnership,Medium,Platelet exosome aesthetic expansion
BIOSTEM,Aesthetics/Cosmetics,Regenerative,USA,https://biostem.com,Perinatal tissue MSC products,Commercial,Perinatal MSC exosome supply,Medium,Aesthetic regenerative products
Kimera Labs Aesthetics,Aesthetics/Cosmetics,Clinical Exosomes,USA,https://kimeralabs.com,Purified clinical-grade MSC exosomes,Commercial,Direct MSC exosome supply,High,Commercial MSC exosome manufacturer
Bo Hui Biotech,Aesthetics/Cosmetics,Skincare/Dual Exosomes,Taiwan,https://bohuibio.com,Plant + animal dual exosome cosmetics,Commercial,MSC exosome cosmetic supply,Medium,GTP lab high-concentration exosomes
Dr. Barbara Sturm,Aesthetics/Cosmetics,Luxury Skincare,Germany,https://drsturm.com,Exosome-based skincare line,Commercial,MSC exosome ingredient supply,Medium,Luxury exosome skincare trendsetter
AllumierMD,Aesthetics/Cosmetics,Medical Skincare,Canada,https://allumiermd.com,Exosome post-procedure skincare,Commercial,MSC exosome topical supply,Medium,Medical aesthetic skincare channel
System Biosciences (SBI),Research Reagents,Exosome Tools,USA,https://systembio.com,ExoQuick; exosome isolation kits,Commercial,MSC exosome isolation tools,Medium,Widely used exosome isolation kits
HansaBioMed,Research Reagents,Exosome Isolation,Estonia,https://hansabiomed.eu,Exosome isolation and characterization,Commercial,MSC exosome research tools,Medium,Exosome research reagent supplier
CD Bioparticles,Research Reagents,Exosome Products,USA,https://cd-bioparticles.com,Purified exosomes; labeling kits,Commercial,MSC exosome research standards,Medium,Research-grade exosome products
Creative Biolabs,Research Reagents,CRO/Services,USA,https://creative-biolabs.com,"Exosome isolation, characterization, manufacturing",Commercial,MSC exosome CRO services,Medium,Full exosome CRO services
Creative Biostructure,Research Reagents,Exosome Products,USA,https://creative-biostructure.com,Stem cell line exosome products,Commercial,MSC exosome research products,Low,Research exosome catalog
Clara Biotech,Research Reagents,Isolation Tools,USA,https://clarabiotech.com,ExoSS automated exosome isolation,Commercial,MSC exosome isolation equipment,Medium,High-throughput exosome isolation
Izon Science,Research Reagents,Analytics,New Zealand,https://izon.com,qNano exosome size analysis,Commercial,Exosome characterization equipment,Medium,Gold standard exosome analytics
NanoFCM,Research Reagents,Analytics,China,https://nanofcm.com,Single exosome flow cytometry,Commercial,MSC exosome analytics platform,Medium,High-resolution exosome analysis
Malvern Panalytical,Research Reagents,Analytics,UK,https://malvernpanalytical.com,NTA exosome sizing,Commercial,Exosome QC analytics,Low,Nanoparticle tracking analysis
Abcam,Research Reagents,Antibodies/Assays,UK,https://abcam.com,"Exosome marker antibodies (CD9, CD63, CD81)",Commercial,MSC exosome marker antibodies,Low,Research antibodies for exosome QC
Bio-Techne (R&D Systems),Research Reagents,Growth Factors/Media,USA,https://rndsystems.com,MSC culture reagents,Commercial,MSC expansion media for exosome production,Medium,MSC culture optimization
STEMCELL Technologies,Research Reagents,Cell Culture,Canada,https://stemcell.com,MSC isolation and culture media,Commercial,MSC culture systems for exosome yield,Medium,Leading stem cell research tools
ExoQure,Research Reagents,GMP MSC Lines,USA,https://exosure.com,GMP UC-MSC; exosome gold standard,Commercial,GMP UC-MSC lines for exosome production,High,GMP FDA-quality MSC for exosomes
AcouSort AB,Research Reagents,Diagnostics/Isolation,Sweden,https://acousort.com,Acoustofluidic exosome separation,Commercial,Exosome isolation technology partnership,Medium,Novel acoustofluidic isolation
Mayo Clinic Center for Regenerative Biotherapeutics,Clinical/Hospital,Academic Medical Center,USA,https://mayo.edu,MSC exosome clinical research (Rion origin),Research/Clinical,Clinical-grade MSC exosome supply,High,Rion spinout; major exosome research hub
Cleveland Clinic Regenerative Medicine,Clinical/Hospital,Academic Medical Center,USA,https://clevelandclinic.org,MSC exosome clinical trials,Research/Clinical,Clinical MSC exosome supply,High,Major US regenerative medicine center
Stanford Medicine,Clinical/Hospital,Academic Medical Center,USA,https://stanford.edu,MSC exosome orthopedic research,Research,Research-grade MSC exosomes,Medium,Orthopedic exosome research leader
Johns Hopkins Medicine,Clinical/Hospital,Academic Medical Center,USA,https://hopkinsmedicine.org,MSC exosome neurology research,Research,Research MSC exosome supply,Medium,Neurology exosome programs
MD Anderson Cancer Center,Clinical/Hospital,Oncology,USA,https://mdanderson.org,Exosome cancer diagnostics/therapy,Research/Clinical,MSC exosome research supply,Medium,Oncology exosome research
Global Stem Cells Group,Clinical/Hospital,Clinic Network,USA/Global,https://globalstemcells.com,Regenerative medicine clinic network,Commercial,MSC exosome supply to clinic network,High,Global stem cell clinic distribution
Celltex Therapeutics,Clinical/Hospital,MSC Therapy,USA,https://celltexbank.com,Autologous MSC banking + exosomes,Commercial,MSC exosome supply for banking clients,Medium,Texas MSC banking leader
Regenerative Medicine Center of Southern California,Clinical/Hospital,Regenerative Clinic,USA,https://rmcsocal.com,MSC exosome treatments,Commercial,MSC exosome clinic supply,Medium,Southern California clinic
The Institute of Regenerative Medicine,Clinical/Hospital,Regenerative Clinic,USA,https://regenerativemedicine.com,MSC exosome IV and local therapies,Commercial,MSC exosome clinic supply,Medium,Multi-site regenerative clinic
Swiss Medica,Clinical/Hospital,Regenerative Clinic,Switzerland,https://swiss-medica.com,MSC exosome stem cell treatments,Commercial,MSC exosome supply for EU clinics,High,International medical tourism clinic
BioXcellerator,Clinical/Hospital,Regenerative Clinic,USA/Colombia,https://bioxcellerator.com,MSC stem cell and exosome therapies,Commercial,MSC exosome clinic supply,High,Medical tourism; sports medicine
DVC Stem,Clinical/Hospital,Regenerative Clinic,Cayman Islands,https://dvcstem.com,UC-MSC exosome therapies,Commercial,UC-MSC exosome supply,Medium,Offshore regenerative clinic
R3 Stem Cell,Clinical/Hospital,Clinic Network,USA,https://r3stemcell.com,MSC exosome clinic treatments,Commercial,MSC exosome clinic network supply,High,Large US clinic network
Regenexx,Clinical/Hospital,Orthopedic Regenerative,USA,https://regenexx.com,Orthopedic MSC therapies + exosomes,Commercial,Orthopedic MSC exosome supply,High,Largest orthopedic regenerative network
The Orthohealing Center,Clinical/Hospital,Orthopedic/Sports,USA,https://orthohealing.com,MSC exosome orthopedic treatments,Commercial,Sports medicine MSC exosomes,Medium,LA sports medicine focus
National Stem Cell Centers,Clinical/Hospital,Clinic Network,USA,https://nationalstemcellcenters.com,MSC exosome regenerative treatments,Commercial,Clinic network MSC exosome supply,Medium,US clinic network
Vibrant Health Care,Clinical/Hospital,Regenerative Clinic,USA,https://vibranthealthcare.com,MSC exosome IV therapy,Commercial,MSC exosome clinic supply,Low,IV exosome therapy clinic
Institute for Regenerative Medicine (IRM),Clinical/Hospital,Regenerative Clinic,Germany,https://irm-germany.com,EU MSC exosome treatments,Commercial,EU clinic MSC exosome supply,Medium,German regenerative medicine
Tokyo Stem Cell Clinic,Clinical/Hospital,Regenerative Clinic,Japan,https://tokyostemcell.com,MSC exosome aesthetic/regenerative,Commercial,Japan clinic MSC exosome supply,Medium,Japan regenerative market entry
CHA Bio Group,Clinical/Hospital,Stem Cell/OB-GYN,South Korea,https://chabio.com,Cord blood MSC; exosome research,Clinical/Commercial,Korean MSC exosome partnership,High,Major Korean stem cell company
RION Vet,Veterinary,Equine/Canine MSK,USA,https://rionvet.com,ePEP-01 platelet exosome biologic,Clinical,MSC exosome veterinary comparison/supply,High,FDA CVM equine musculoskeletal program
Akrocell Biosciences,Veterinary,Companion Animal,South Korea,https://akrocell.com,HYCC species-specific MSC exosomes,Preclinical,Veterinary MSC exosome supply,High,Species-specific MSC exosome therapeutics
iC Biosolutions,Veterinary,Equine Joint Disease,Spain,https://ic-biosolutions.com,ICB001 secretome for equine joints,Clinical,Veterinary MSC exosome supply,High,First-in-class veterinary secretome biologic
Medrego,Veterinary,Animal Exosomes,Latvia,https://medrego.com,GMP animal exosome production,Commercial,Veterinary MSC exosome manufacturing,Medium,Multi-species GMP exosome production
Bioceltix,Veterinary,Canine/Equine,Poland,https://bioceltix.com,MSC therapeutics; secretome research,Preclinical/Commercial,Veterinary MSC exosome supply,Medium,Dog and horse inflammatory conditions
BioVenic,Veterinary,Research Services,China,https://biovenic.com,MSC-EV development and characterization,Commercial,Veterinary MSC-EV research services,Low,Veterinary exosome CRO
Daewoong Pet,Veterinary,Companion Animal,South Korea,https://daewoongpet.com,Stem cell exosome geriatric dog trials,Clinical,Veterinary MSC exosome supply,Medium,Korean pet pharma; exosome PoC trials
VetStem Biopharma,Veterinary,Regenerative,USA,https://vetstem.com,Veterinary stem cell therapy pioneer,Commercial,Veterinary MSC exosome expansion,Medium,Established vet regenerative company
Aratana Therapeutics (Elanco),Veterinary,Pet Therapeutics,USA,https://elanco.com,Pet biologics including regenerative,Commercial,Veterinary MSC exosome partnership,Medium,Elanco pet health division
McKesson Medical-Surgical,Distributor/Wholesaler,Medical Distribution,USA,https://mckesson.com,Medical supply distribution,Commercial,Regenerative product distribution partnership,Medium,Largest US medical distributor
Henry Schein,Distributor/Wholesaler,Medical/Dental Distribution,USA,https://henryschein.com,Medical aesthetic product distribution,Commercial,Aesthetic exosome product distribution,High,Major medical/dental distributor
Cardinal Health,Distributor/Wholesaler,Medical Distribution,USA,https://cardinalhealth.com,Specialty pharmaceutical distribution,Commercial,Regenerative biologics distribution,Medium,US specialty pharma distributor
Medline Industries,Distributor/Wholesaler,Medical Supply,USA,https://medline.com,Medical supply distribution,Commercial,Regenerative product channel,Low,Broad medical supply distributor
Filler World,Distributor/Wholesaler,Aesthetic Distribution,UK,https://fillerworld.com,Aesthetic and regenerative products,Commercial,EU aesthetic exosome distribution,Medium,UK/EU aesthetic distributor
Q-Med (Galderma),Distributor/Wholesaler,Aesthetic,Switzerland,https://galderma.com,Aesthetic medicine portfolio,Commercial,Strategic aesthetic exosome partnership,Medium,Galderma aesthetic division
Allergan Aesthetics (AbbVie),Distributor/Wholesaler,Aesthetic,USA,https://allerganaesthetics.com,Leading aesthetic portfolio,Commercial,Strategic MSC exosome partnership,High,Botox/Juvederm parent; exosome interest
Merz Aesthetics,Distributor/Wholesaler,Aesthetic,Germany,https://merzaesthetics.com,Xeomin/Radiesse aesthetic products,Commercial,Aesthetic exosome co-development,High,Major EU aesthetic company
CosmoFrance,Distributor/Wholesaler,Professional Skincare,France,https://cosmofrance.com,Professional aesthetic distribution,Commercial,EU exosome product distribution,Medium,French aesthetic distributor
DermaSculpt,Distributor/Wholesaler,Aesthetic Supply,USA,https://dermasculpt.com,Medical aesthetic supplies,Commercial,US aesthetic exosome distribution,Medium,Aesthetic supply distributor
TSK Laboratory,Distributor/Wholesaler,Aesthetic Devices,Japan,https://tsklab.com,Aesthetic needles and supplies,Commercial,Japan aesthetic exosome channel,Medium,Japan aesthetic market entry
Suneva Medical,Distributor/Wholesaler,Aesthetic,USA,https://sunevamedical.com,Bellafill and aesthetic products,Commercial,Aesthetic exosome product partnership,Medium,US aesthetic device company
Harvard Stem Cell Institute,Academic Research,Stem Cell Research,USA,https://hsci.harvard.edu,MSC exosome regenerative research,Research,Research-grade MSC exosomes,Medium,Leading academic exosome research
University of Oxford,Academic Research,EV Research,UK,https://ox.ac.uk,Extracellular vesicle research center,Research,Research MSC exosome supply,Medium,EV research excellence center
National University of Singapore,Academic Research,MSC Research,Singapore,https://nus.edu.sg,MSC exosome tissue engineering,Research,Research MSC exosome supply,Medium,Asia-Pacific MSC research hub
Karolinska Institutet,Academic Research,Regenerative Medicine,Sweden,https://ki.se,MSC exosome immunomodulation research,Research,Research MSC exosome supply,Medium,Nobel-associated research institution
University of California San Diego,Academic Research,EV Research,USA,https://ucsd.edu,MSC exosome cardiac research,Research,Research MSC exosome supply,Medium,Cardiac exosome research leader
University of Pittsburgh,Academic Research,MSC Research,USA,https://pitt.edu,MSC exosome lung/ARDS research,Research,Research MSC exosome supply,Medium,ARDS exosome research connection to ExoFlo
Texas A&M University,Academic Research,MSC Research,USA,https://tamu.edu,MSC exosome agricultural/veterinary research,Research,Research MSC exosome supply,Low,MSC exosome veterinary research
Chinese Academy of Sciences,Academic Research,Stem Cell Research,China,https://english.cas.cn,MSC exosome translational research,Research,China market MSC exosome supply,Medium,China's top research institution
RIKEN Center for Biosystems Dynamics,Academic Research,EV Research,Japan,https://riken.jp,Exosome biogenesis and function,Research,Research MSC exosome supply,Medium,Japan exosome research leader
University of Melbourne,Academic Research,Regenerative Medicine,Australia,https://unimelb.edu.au,MSC exosome orthopedic research,Research,Research MSC exosome supply,Medium,Australian MSC research hub
Anocca AB,Pharmaceutical/Biotech,Immunotherapy,Sweden,https://anocca.com,T-cell therapies + exosome research,Preclinical,MSC exosome research supply,Low,T-cell precision medicine
VivaZome Therapeutics,Pharmaceutical/Biotech,Angiogenesis,Australia,https://vivazome.com,VX-01 angiogenic exosomes,Clinical,MSC exosome manufacturing,Medium,Angiogenic exosome clinical program
Regeneus Ltd,Pharmaceutical/Biotech,Orthopedics,Australia,https://regeneus.com.au,Progenza MSC therapy,Clinical,MSC exosome supply,Medium,Australian orthopedics biotech
Unicycive Therapeutics,Pharmaceutical/Biotech,Kidney Disease,USA,https://unicycive.com,MSC exosome kidney programs,Preclinical,MSC exosome supply,Low,Kidney disease exosome research
